abash, to make ashamed, verb 
blazon, to describe a coat of arms, verb 
bleak," bare, desolate", adjective 
blemish, spoil the appearance of, verb 
blight, to suffer blight, verb 
blithe, showing a casual indifference which is callous or improper, adjective 
blithesome," happy or spriteful, carefree", adjective 
bloated," swollen, puffed up", adjective 
blockade, an obstruction of passage or progress, noun 
bluff, to mislead by a display of self-confidence or strength, verb 
blunder, to make a stupid mistake, verb 
blunderbuss, an action regarded as lacking in subtlety, noun 
blurt, to speak quickly or without thought, verb 
boatswain," an officer on a vessel, in charge of rigging, cables, etc", noun 
bode," to indicate by signs, as future events", verb 
bodice, the part of a woman's dress covering between neck and waist, noun 
bodily," of, relating to, or concerning the body", adjective 
bogus," counterfeit or fake, not genuine", adjective 
boisterous," noisy, energetic, rowdy", adjective 
bole, the trunk or stem of a tree, noun 
bolero, a lively spanish dance, noun 
boll, the rounded seed-bearing capsule of a cotton or flax plant, noun 
bolster, to support or strengthen, verb 
bomb," to attack using one or more bombs, to bombard", verb 
bombard, to attack something with bombs or other missiles, verb 
bombardier, a bomber crew member who sights and releases bombs, noun 
bombast, high-sounding language with little meaning, noun 
bombastic, ostentatiously lofty in style, adjective 
bon," mot a witty remark or comment, clever saying, witticism", adjective 
bona," fide genuine, real", adjective 
bondage, the state of being enslaved or the practice of slavery, noun 
booming, having a great period of prosperity, adjective 
boon, a thing that is helpful or beneficial, noun 
boor," a rude, unmannerly person", noun 
borough," a fortified town, a town or city", noun 
bosom, in a very close relationship, adjective 
botanize, to study plants or plant life, verb 
botany," the scientific study of plants, a branch of biology", noun 
bountiful, having a quantity or amount that is generous or plentiful, adjective 
bourgeois, a member of the middle class, noun 
bovine," of, relating to, or affecting cattle", adjective 
bowdlerize," to remove those parts of a text considered offensive, vulgar", verb 
bowler, one who engages in the sport of bowling, noun 
boycott," to abstain, either as an individual or group", verb 
brackish," salty or slightly salty, as a mixture of fresh and sea water", adjective 
brae," the sloping bank of a river-valley, any slope or hillside", noun 
braggart, someone who boasts, noun 
brandish, to move or swing a weapon back and forth, verb 
brash, impetuous or rash, adjective 
bravado, a swaggering show of defiance or courage, noun 
brawn," strong, well-developed muscles", noun 
bray," of a donkey, to make it cry", verb 
braze, the joining together of two metal pieces without melting, verb 
brazen, bold and without shame, adjective 
brazier, a barbecue, noun 
breach," an act of breaking a law, agreement or code of conduct", noun 
breadth, the extent or measure of how broad or wide something is, noun 
breaker, something that breaks, noun 
breech," the lower, rear trunk of the body", noun 
brethren, fellow members, noun 
brevity, concise and exact use of words in writing or, speech 
bric-a-brac," small ornaments, other miscellaneous items of little value", noun 
bridle," part of the harness of a horse, consisting of bit and reins", noun 
brigade, to form troops into a brigade, verb 
brigadier," an army rank, an officer commanding a brigade", noun 
brigand, an outlaw or bandit, noun 
brimstone, about or pertaining to hell, adjective 
brindled," of a brownish, tawny or gray colour, with streaks or spots", adjective 
brine, to preserve food in a salt solution, verb 
bristle, to be on one's guard or raise one's defenses, verb 
britannia, the ancient Roman name for Great Britain, noun 
briticism, an idiom used in britain but not in other eng-speaking areas, noun 
brittle, liable to break or snap easily under stress or pressure, adjective 
broach, to mention or suggest for the first time, verb 
broadcast, to transmit a message or signal via electronic means, verb 
brogan," a heavy working shoe, a brogue", noun 
brogue, to speak with an accent, verb 
brokerage, a company whose business is to act as a broker, noun 
bromide, a binary compound of bromine and some other element, noun 
bromine," a non-metallic chemical element, one of the halogens", noun 
bronchitis, an inflammation of the bronchi of the lungs, noun 
bronchus," the primary branches of the trachea, leading into the lungs", noun 
brooch, women’s jewellery having a pin to be fixed to garments, noun 
brotherhood, the state of being brothers or a brother, noun 
brouhaha," a stir, a fuss or uproar", noun 
browbeat," to bully in an intimidating, bossy, or supercilious way", verb 
browse, to casually look through in order to find items of interest, verb 
bruit," to spread, promulgate or disseminate a rumour, news etc", verb 
brunt, the chief consequences or negative results of something, noun 
brusque," rudely abrupt, unfriendly", adjective 
bucolic, a pastoral poem, noun 
buffet," a blow, typically with the hand or fist", noun 
buffoon, to behave like a buffoon, verb 
bulbous," having the shape of or resembling a bulb, bloated", adjective 
bullion," a bulk quantity of precious metal, usually gold or silver", noun 
bullock, a castrated bull, noun 
bulrush, any of several wetland herbs, noun 
bulwark, to fortify something with a wall or rampart, verb 
bumptious," obtrusively pushy, self-assertive to a pretentious extreme", adjective 
bungalow, a small house or cottage usually having a single story, noun 
bungle," to botch up, bumble or incompetently perform a task", verb 
buoyant," having buoyancy, able to float", adjective 
bureau, office, noun 
bureaucracy, structure and regulations in place to control activity, noun 
burgeon, begin to grow or increase rapidly, verb 
burgess," an inhabitant of a borough with full rights, a citizen", noun 
burgher," a citizen, especially one belonging to middle class", noun 
burlesque, to make a burlesque parody of, verb 
burly," large, well-built, and muscular", adjective 
burnish," to make smooth or shiny by rubbing, to polish, to shine", verb 
bursar," the treasurer of a university, college or school", noun 
bustle, to move busily and energetically with fussiness, verb 
butte, an isolated hill with steep sides and a flat top, noun 
buttress, to provide a structure with projecting supports, verb 
buxom," having a voluptuous figure, especially having large breasts", adjective 
bylaw, a rule governing a corporation or society's internal affairs, noun 
byline, a line in a newspaper naming the writer of an article, noun 
cabal, a secret political clique or faction, noun 
cabalism, the principles or doctrines of the cabala, noun 
cabinet, a cupboard for storing or displaying articles, noun 
